period,date,year,month,month_name,n,empirical_cov,lambda_period,se,ci_lo,ci_hi,includes_zero,sign,model_cov_constant,model_cov_period,error_constant,error_period
2023-01,2023-01-01,2023,1,Jan,743,-0.00011628022445636631,0.0009787151753719793,0.0009993691752182851,-0.001055230019912636,0.0028448344697932513,True,positive,-0.0002077396961348209,-0.00011628022445636631,9.145947167845459e-05,0.0
2023-02,2023-02-01,2023,2,Feb,672,-0.0005261404165561817,0.004428453870531523,0.0016624080480613234,0.001151610000535781,0.007553005595791175,False,positive,-0.0002077396961348209,-0.0005261404165561817,-0.00031840072042136085,0.0
2023-03,2023-03-01,2023,3,Mar,744,-0.0001797317084677711,0.0015127778725517352,0.0019453580910333847,-0.002003912952255356,0.005534220450671629,True,positive,-0.0002077396961348209,-0.0001797317084677711,2.8007987667049794e-05,0.0
2023-04,2023-04-01,2023,4,Apr,720,2.467950578150949e-05,-0.00020772411596184706,0.0016831011497517472,-0.0034655519685111713,0.003210130678798242,True,negative,-0.0002077396961348209,2.467950578150949e-05,0.0002324192019163304,0.0
2023-05,2023-05-01,2023,5,May,744,8.550589259784105e-05,-0.0007196917193829157,0.0018999657407505336,-0.004883248582550246,0.0026409003444354743,True,negative,-0.0002077396961348209,8.550589259784105e-05,0.00029324558873266193,0.0
2023-06,2023-06-01,2023,6,Jun,720,-0.00048822951257088885,0.004109362836643819,0.001429354526070191,0.0014203324371516164,0.006942120751465369,False,positive,-0.0002077396961348209,-0.00048822951257088885,-0.0002804898164360679,0.0
2023-07,2023-07-01,2023,7,Jul,744,-0.0002728053727642217,0.0022961665192480227,0.0050065166583550475,-0.007065750561000904,0.012258336544633534,True,positive,-0.0002077396961348209,-0.0002728053727642217,-6.506567662940081e-05,0.0
2023-08,2023-08-01,2023,8,Aug,744,6.022075911425838e-05,-0.0005068701156460334,0.002035641282587301,-0.004807299101609011,0.003550718091941903,True,negative,-0.0002077396961348209,6.022075911425838e-05,0.0002679604552490793,0.0
2023-09,2023-09-01,2023,9,Sep,720,-0.0004638984924686158,0.0039045718782697142,0.00617398603328818,-0.009673230951346203,0.014975231046895281,True,positive,-0.0002077396961348209,-0.0004638984924686158,-0.00025615879633379495,0.0
2023-10,2023-10-01,2023,10,Oct,744,-0.0002772318085864448,0.002333423240520052,0.00204872209629553,-0.0015921413763414403,0.006629749322233383,True,positive,-0.0002077396961348209,-0.0002772318085864448,-6.949211245162388e-05,0.0
2023-11,2023-11-01,2023,11,Nov,720,-0.00010740337045333621,0.0009039998765071482,0.0015574365273662472,-0.0019818828059845932,0.0039498464239236,True,positive,-0.0002077396961348209,-0.00010740337045333621,0.00010033632568148469,0.0
2023-12,2023-12-01,2023,12,Dec,744,-0.0003148928936422019,0.0026504115817222638,0.0009853691055727964,0.0007616967448310063,0.004558171525274845,False,positive,-0.0002077396961348209,-0.0003148928936422019,-0.000107153197507381,0.0
2024-01,2024-01-01,2024,1,Jan,744,-0.0002861225393348294,0.002408255338103898,0.000738892550610901,0.0010333645376012686,0.003835232653799208,False,positive,-0.0002077396961348209,-0.0002861225393348294,-7.838284320000848e-05,0.0
2024-02,2024-02-01,2024,2,Feb,696,-5.5461820748809654e-06,4.668147647151247e-05,0.0009137085235255452,-0.0017240475395559444,0.0018605982720215938,True,positive,-0.0002077396961348209,-5.5461820748809654e-06,0.00020219351405993994,0.0
2024-03,2024-03-01,2024,3,Mar,744,0.0005514577802096577,-0.004641546751319399,0.0016342601540067887,-0.007915491922294465,-0.0012888390704402617,False,negative,-0.0002077396961348209,0.0005514577802096577,0.0007591974763444786,0.0
2024-04,2024-04-01,2024,4,Apr,720,-0.00029304471222978433,0.002466518346199339,0.0019432400519642508,-0.0010018676836986787,0.006340286055687142,True,positive,-0.0002077396961348209,-0.00029304471222978433,-8.530501609496343e-05,0.0
2024-05,2024-05-01,2024,5,May,744,7.180881695297101e-07,-6.044052564050031e-06,0.0015740017112479644,-0.003114560532146969,0.0030513956494122407,True,negative,-0.0002077396961348209,7.180881695297101e-07,0.0002084577843043506,0.0
2024-06,2024-06-01,2024,6,Jun,720,0.00016624191459172364,-0.0013992360726381831,0.0022622875125013105,-0.005512474620903457,0.0030551789684732378,True,negative,-0.0002077396961348209,0.00016624191459172364,0.00037398161072654454,0.0
2024-07,2024-07-01,2024,7,Jul,744,0.00041590399447012834,-0.0035006085754373723,0.0023215259779943323,-0.008074043913547765,0.0008499849509952196,True,negative,-0.0002077396961348209,0.00041590399447012834,0.0006236436906049492,0.0
2024-08,2024-08-01,2024,8,Aug,744,-8.500163923438287e-05,0.0007154474859257118,0.0021534693232553967,-0.003655775041907119,0.004753775993210144,True,positive,-0.0002077396961348209,-8.500163923438287e-05,0.00012273805690043803,0.0
2024-09,2024-09-01,2024,9,Sep,720,-0.0007860760633589529,0.0066162976189882245,0.0033030367650538155,0.00029628458299308687,0.013020428162036628,False,positive,-0.0002077396961348209,-0.0007860760633589529,-0.000578336367224132,0.0
2024-10,2024-10-01,2024,10,Oct,744,0.00012064007578657203,-0.001015411463835365,0.002276368760429429,-0.005710952352346988,0.002841227872298278,True,negative,-0.0002077396961348209,0.00012064007578657203,0.0003283797719213929,0.0
2024-11,2024-11-01,2024,11,Nov,720,-1.843442305464302e-05,0.000155160085708094,0.0020247984846844622,-0.003916134272359123,0.0041146818021743125,True,positive,-0.0002077396961348209,-1.843442305464302e-05,0.00018930527308017787,0.0
2024-12,2024-12-01,2024,12,Dec,744,-0.0002873617570803189,0.0024186856689599923,0.0012365180836750862,3.067149207940214e-05,0.004830038650222173,False,positive,-0.0002077396961348209,-0.0002873617570803189,-7.962206094549797e-05,0.0
2025-01,2025-01-01,2025,1,Jan,744,-0.0005898656652992394,0.004964820809026627,0.0016140818144596393,0.0018339676612889604,0.00822194615277083,False,positive,-0.0002077396961348209,-0.0005898656652992394,-0.0003821259691644185,0.0
2025-02,2025-02-01,2025,2,Feb,672,-0.00022768317876699097,0.0019163790169652104,0.0014185911550564088,-0.000989123456806455,0.004605631503974177,True,positive,-0.0002077396961348209,-0.00022768317876699097,-1.9943482632170064e-05,0.0
2025-03,2025-03-01,2025,3,Mar,744,-0.0016537222504961853,0.013919160114953704,0.002779385926620877,0.00868117845968261,0.019595593506456385,False,positive,-0.0002077396961348209,-0.0016537222504961853,-0.0014459825543613643,0.0
2025-04,2025-04-01,2025,4,Apr,720,-0.0004040770599424102,0.0034010628413753256,0.0019666461039663887,-0.0004888820845558893,0.0072388744039441864,True,positive,-0.0002077396961348209,-0.0004040770599424102,-0.00019633736380758932,0.0
2025-05,2025-05-01,2025,5,May,744,-0.0001503122475196465,0.0012651581847173913,0.002303591760605007,-0.0035608196825997157,0.005557173524767795,True,positive,-0.0002077396961348209,-0.0001503122475196465,5.742744861517439e-05,0.0
2025-06,2025-06-01,2025,6,Jun,720,0.0010727308069026676,-0.009029032449095755,0.0031650206086595275,-0.015322290106658183,-0.002617059858065536,False,negative,-0.0002077396961348209,0.0010727308069026676,0.0012804705030374885,0.0
2025-07,2025-07-01,2025,7,Jul,744,-0.0003139171621159089,0.002642198979309975,0.0019187049258021964,-0.0010620885748379829,0.006313154029163394,True,positive,-0.0002077396961348209,-0.0003139171621159089,-0.000106177465981088,0.0
2025-08,2025-08-01,2025,8,Aug,744,-0.0003170556049953534,0.0026686148353810397,0.0019670785974870804,-0.0013991735429418502,0.006318108550675673,True,positive,-0.0002077396961348209,-0.0003170556049953534,-0.00010931590886053251,0.0
2025-09,2025-09-01,2025,9,Sep,720,-0.0007538412759685239,0.00634498170313582,0.0029248905178168782,0.0008154102859960878,0.012147505355172155,False,positive,-0.0002077396961348209,-0.0007538412759685239,-0.000546101579833703,0.0
2025-10,2025-10-01,2025,10,Oct,744,-0.0004881022056646198,0.004108291311354995,0.0027062382055651193,-0.0007255818901203712,0.01001670389596636,True,positive,-0.0002077396961348209,-0.0004881022056646198,-0.0002803625095297989,0.0
2025-11,2025-11-01,2025,11,Nov,720,-0.00031600642095511134,0.002659783992933463,0.001535383868323092,-0.00024966790005956184,0.005648273202837413,True,positive,-0.0002077396961348209,-0.00031600642095511134,-0.00010826672482029044,0.0
2025-12,2025-12-01,2025,12,Dec,721,-6.26562436763685e-05,0.0005273692651055859,0.0010492809744638105,-0.0016884910887363985,0.0025347883677677573,True,positive,-0.0002077396961348209,-6.26562436763685e-05,0.00014508345245845238,0.0
